,Season,Month,Year,Date,NAO-PC-H
1,DJF,1,1980,1/10/1980,0.1
2,DJF,1,1980,1/20/1980,-0.7
3,DJF,1,1980,1/30/1980,-0.7
4,DJF,2,1980,2/9/1980,-0.5
5,DJF,2,1980,2/19/1980,0.9
6,DJF,2,1980,2/29/1980,0.7
7,MAM,3,1980,3/10/1980,0.8
8,MAM,3,1980,3/20/1980,-1
9,MAM,3,1980,3/30/1980,-0.2
10,MAM,4,1980,4/9/1980,0.7
11,MAM,4,1980,4/19/1980,0.9
12,MAM,4,1980,4/29/1980,0
13,MAM,5,1980,5/9/1980,-1.2
14,MAM,5,1980,5/19/1980,-0.2
15,MAM,5,1980,5/29/1980,-0.5
16,JJA,6,1980,6/8/1980,0.1
17,JJA,6,1980,6/18/1980,0
18,JJA,6,1980,6/28/1980,-0.6
19,JJA,7,1980,7/8/1980,-0.8
20,JJA,7,1980,7/18/1980,0
21,JJA,7,1980,7/28/1980,0.1
22,JJA,8,1980,8/7/1980,-1
23,JJA,8,1980,8/17/1980,-0.7
24,JJA,8,1980,8/27/1980,-1.4
25,SON,9,1980,9/6/1980,0
26,SON,9,1980,9/16/1980,0.4
27,SON,9,1980,9/26/1980,0.6
28,SON,10,1980,10/6/1980,-0.2
29,SON,10,1980,10/16/1980,-1.4
30,SON,10,1980,10/26/1980,-0.6
31,SON,11,1980,11/5/1980,-0.4
32,SON,11,1980,11/15/1980,0
33,SON,11,1980,11/25/1980,-0.1
34,DJF,12,1980,12/5/1980,-0.6
35,DJF,12,1980,12/15/1980,0.7
36,DJF,12,1980,12/25/1980,0.9
37,DJF,1,1981,1/4/1981,0.4
38,DJF,1,1981,1/14/1981,0.1
39,DJF,1,1981,1/24/1981,0.2
40,DJF,2,1981,2/3/1981,0.6
41,DJF,2,1981,2/13/1981,1.4
42,DJF,2,1981,2/23/1981,-0.2
43,MAM,3,1981,3/5/1981,-0.6
44,MAM,3,1981,3/15/1981,-0.6
45,MAM,3,1981,3/25/1981,-0.1
46,MAM,4,1981,4/4/1981,0.4
47,MAM,4,1981,4/14/1981,0.5
48,MAM,4,1981,4/24/1981,-0.7
49,MAM,5,1981,5/4/1981,0.5
50,MAM,5,1981,5/14/1981,0.6
51,MAM,5,1981,5/24/1981,-0.3
52,JJA,6,1981,6/3/1981,-0.5
53,JJA,6,1981,6/13/1981,-0.1
54,JJA,6,1981,6/23/1981,-0.1
55,JJA,7,1981,7/3/1981,0
56,JJA,7,1981,7/13/1981,-0.1
57,JJA,7,1981,7/23/1981,0.3
58,JJA,8,1981,8/2/1981,-0.1
59,JJA,8,1981,8/12/1981,0.3
60,JJA,8,1981,8/22/1981,-0.1
61,SON,9,1981,9/1/1981,0.4
62,SON,9,1981,9/11/1981,-1.2
63,SON,9,1981,9/21/1981,-0.5
64,SON,10,1981,10/1/1981,-1.8
65,SON,10,1981,10/11/1981,-1
66,SON,10,1981,10/21/1981,0.5
67,SON,10,1981,10/31/1981,-0.2
68,SON,11,1981,11/10/1981,0.1
69,SON,11,1981,11/20/1981,-0.2
70,SON,11,1981,11/30/1981,-0.5
71,DJF,12,1981,12/10/1981,0.5
72,DJF,12,1981,12/20/1981,0.1
73,DJF,12,1981,12/30/1981,-1.1
74,DJF,1,1982,1/9/1982,-0.9
75,DJF,1,1982,1/19/1982,-0.3
76,DJF,1,1982,1/29/1982,0.3
77,DJF,2,1982,2/8/1982,1.1
78,DJF,2,1982,2/18/1982,0.5
79,DJF,2,1982,2/28/1982,0.7
80,MAM,3,1982,3/10/1982,1.2
81,MAM,3,1982,3/20/1982,0.3
82,MAM,3,1982,3/30/1982,0.2
83,MAM,4,1982,4/9/1982,-0.6
84,MAM,4,1982,4/19/1982,0.5
85,MAM,4,1982,4/29/1982,0.6
86,MAM,5,1982,5/9/1982,-0.4
87,MAM,5,1982,5/19/1982,-0.2
88,MAM,5,1982,5/29/1982,0.1
89,JJA,6,1982,6/8/1982,-1.2
90,JJA,6,1982,6/18/1982,-1.2
91,JJA,6,1982,6/28/1982,-0.5
92,JJA,7,1982,7/8/1982,0.4
93,JJA,7,1982,7/18/1982,0.4
94,JJA,7,1982,7/28/1982,0.8
95,JJA,8,1982,8/7/1982,0.1
96,JJA,8,1982,8/17/1982,0.1
97,JJA,8,1982,8/27/1982,0.1
98,SON,9,1982,9/6/1982,0.4
99,SON,9,1982,9/16/1982,1.4
100,SON,9,1982,9/26/1982,0.4
101,SON,10,1982,10/6/1982,-0.3
102,SON,10,1982,10/16/1982,-0.4
103,SON,10,1982,10/26/1982,-0.1
104,SON,11,1982,11/5/1982,0.5
105,SON,11,1982,11/15/1982,1.1
106,SON,11,1982,11/25/1982,0.9
107,DJF,12,1982,12/5/1982,1
108,DJF,12,1982,12/15/1982,1.3
109,DJF,12,1982,12/25/1982,0.7
110,DJF,1,1983,1/4/1983,1.7
111,DJF,1,1983,1/14/1983,0.4
112,DJF,1,1983,1/24/1983,0.7
113,DJF,2,1983,2/3/1983,0
114,DJF,2,1983,2/13/1983,-0.4
115,DJF,2,1983,2/23/1983,0.4
116,MAM,3,1983,3/5/1983,0.9
117,MAM,3,1983,3/15/1983,0.8
118,MAM,3,1983,3/25/1983,0.4
119,MAM,4,1983,4/4/1983,-0.1
120,MAM,4,1983,4/14/1983,-0.4
121,MAM,4,1983,4/24/1983,-0.8
122,MAM,5,1983,5/4/1983,0.5
123,MAM,5,1983,5/14/1983,0
124,MAM,5,1983,5/24/1983,-0.4
125,JJA,6,1983,6/3/1983,-0.4
126,JJA,6,1983,6/13/1983,0.9
127,JJA,6,1983,6/23/1983,0.5
128,JJA,7,1983,7/3/1983,1.1
129,JJA,7,1983,7/13/1983,-0.6
130,JJA,7,1983,7/23/1983,1
131,JJA,8,1983,8/2/1983,1.6
132,JJA,8,1983,8/12/1983,0.6
133,JJA,8,1983,8/22/1983,0.5
134,SON,9,1983,9/1/1983,0.3
135,SON,9,1983,9/11/1983,-1.1
136,SON,9,1983,9/21/1983,-0.2
137,SON,10,1983,10/1/1983,-0.3
138,SON,10,1983,10/11/1983,0.2
139,SON,10,1983,10/21/1983,0.3
140,SON,10,1983,10/31/1983,0.5
141,SON,11,1983,11/10/1983,-0.5
142,SON,11,1983,11/20/1983,-0.9
143,SON,11,1983,11/30/1983,-0.1
144,DJF,12,1983,12/10/1983,0.2
145,DJF,12,1983,12/20/1983,-0.7
146,DJF,12,1983,12/30/1983,1.3
147,DJF,1,1984,1/9/1984,1.1
148,DJF,1,1984,1/19/1984,0.9
149,DJF,1,1984,1/29/1984,0.7
150,DJF,2,1984,2/8/1984,0.9
151,DJF,2,1984,2/18/1984,0.4
152,DJF,2,1984,2/28/1984,-0.1
153,MAM,3,1984,3/9/1984,0.2
154,MAM,3,1984,3/19/1984,0.3
155,MAM,3,1984,3/29/1984,-0.7
156,MAM,4,1984,4/8/1984,-0.1
157,MAM,4,1984,4/18/1984,0.2
158,MAM,4,1984,4/28/1984,-0.4
159,MAM,5,1984,5/8/1984,-0.4
160,MAM,5,1984,5/18/1984,0.5
161,MAM,5,1984,5/28/1984,0.7
162,JJA,6,1984,6/7/1984,-1
163,JJA,6,1984,6/17/1984,0.6
164,JJA,6,1984,6/27/1984,-0.3
165,JJA,7,1984,7/7/1984,-0.3
166,JJA,7,1984,7/17/1984,0
167,JJA,7,1984,7/27/1984,0.6
168,JJA,8,1984,8/6/1984,1.2
169,JJA,8,1984,8/16/1984,0.9
170,JJA,8,1984,8/26/1984,-0.3
171,SON,9,1984,9/5/1984,0
172,SON,9,1984,9/15/1984,0.4
173,SON,9,1984,9/25/1984,-0.1
174,SON,10,1984,10/5/1984,0
175,SON,10,1984,10/15/1984,-0.7
176,SON,10,1984,10/25/1984,0.7
177,SON,11,1984,11/4/1984,0.2
178,SON,11,1984,11/14/1984,-0.3
179,SON,11,1984,11/24/1984,0.1
180,DJF,12,1984,12/4/1984,-0.3
181,DJF,12,1984,12/14/1984,0.2
182,DJF,12,1984,12/24/1984,0.6
183,DJF,1,1985,1/3/1985,-1
184,DJF,1,1985,1/13/1985,-0.9
185,DJF,1,1985,1/23/1985,-0.7
186,DJF,2,1985,2/2/1985,-0.7
187,DJF,2,1985,2/12/1985,-0.4
188,DJF,2,1985,2/22/1985,0.8
189,MAM,3,1985,3/4/1985,0.8
190,MAM,3,1985,3/14/1985,0.4
191,MAM,3,1985,3/24/1985,-0.5
192,MAM,4,1985,4/3/1985,-0.3
193,MAM,4,1985,4/13/1985,0.9
194,MAM,4,1985,4/23/1985,-0.5
195,MAM,5,1985,5/3/1985,0.6
196,MAM,5,1985,5/13/1985,0
197,MAM,5,1985,5/23/1985,-0.9
198,JJA,6,1985,6/2/1985,-0.4
199,JJA,6,1985,6/12/1985,-0.1
200,JJA,6,1985,6/22/1985,-0.6
201,JJA,7,1985,7/2/1985,0.4
202,JJA,7,1985,7/12/1985,0.7
203,JJA,7,1985,7/22/1985,0
204,JJA,8,1985,8/1/1985,0.6
205,JJA,8,1985,8/11/1985,-0.5
206,JJA,8,1985,8/21/1985,-0.5
207,JJA,8,1985,8/31/1985,-0.6
208,SON,9,1985,9/10/1985,-0.4
209,SON,9,1985,9/20/1985,-0.1
210,SON,9,1985,9/30/1985,0.1
211,SON,10,1985,10/10/1985,0.7
212,SON,10,1985,10/20/1985,0.6
213,SON,10,1985,10/30/1985,-1.1
214,SON,11,1985,11/9/1985,0.2
215,SON,11,1985,11/19/1985,0.4
216,SON,11,1985,11/29/1985,-0.7
217,DJF,12,1985,12/9/1985,0.2
218,DJF,12,1985,12/19/1985,0.1
219,DJF,12,1985,12/29/1985,-0.3
220,DJF,1,1986,1/8/1986,0.2
221,DJF,1,1986,1/18/1986,0.9
222,DJF,1,1986,1/28/1986,0.8
223,DJF,2,1986,2/7/1986,-0.6
224,DJF,2,1986,2/17/1986,0
225,DJF,2,1986,2/27/1986,-0.3
226,MAM,3,1986,3/9/1986,0.9
227,MAM,3,1986,3/19/1986,1.4
228,MAM,3,1986,3/29/1986,1.1
229,MAM,4,1986,4/8/1986,-0.9
230,MAM,4,1986,4/18/1986,0
231,MAM,4,1986,4/28/1986,-0.2
232,MAM,5,1986,5/8/1986,0
233,MAM,5,1986,5/18/1986,0.8
234,MAM,5,1986,5/28/1986,0.7
235,JJA,6,1986,6/7/1986,0.6
236,JJA,6,1986,6/17/1986,0.8
237,JJA,6,1986,6/27/1986,-0.1
238,JJA,7,1986,7/7/1986,-0.5
239,JJA,7,1986,7/17/1986,0.4
240,JJA,7,1986,7/27/1986,0.6
241,JJA,8,1986,8/6/1986,0.3
242,JJA,8,1986,8/16/1986,-0.9
243,JJA,8,1986,8/26/1986,-0.9
244,SON,9,1986,9/5/1986,-0.8
245,SON,9,1986,9/15/1986,-0.9
246,SON,9,1986,9/25/1986,-0.1
247,SON,10,1986,10/5/1986,0.9
248,SON,10,1986,10/15/1986,1
249,SON,10,1986,10/25/1986,0.5
250,SON,11,1986,11/4/1986,1.2
251,SON,11,1986,11/14/1986,1.3
252,SON,11,1986,11/24/1986,1.1
253,DJF,12,1986,12/4/1986,0.6
254,DJF,12,1986,12/14/1986,0.5
255,DJF,12,1986,12/24/1986,0.4
256,DJF,1,1987,1/3/1987,0.1
257,DJF,1,1987,1/13/1987,-0.8
258,DJF,1,1987,1/23/1987,-0.7
259,DJF,2,1987,2/2/1987,0.1
260,DJF,2,1987,2/12/1987,0.4
261,DJF,2,1987,2/22/1987,-1.1
262,MAM,3,1987,3/4/1987,0.4
263,MAM,3,1987,3/14/1987,0.1
264,MAM,3,1987,3/24/1987,0
265,MAM,4,1987,4/3/1987,0.2
266,MAM,4,1987,4/13/1987,0.7
267,MAM,4,1987,4/23/1987,1.8
268,MAM,5,1987,5/3/1987,0.9
269,MAM,5,1987,5/13/1987,0.8
270,MAM,5,1987,5/23/1987,0.2
271,JJA,6,1987,6/2/1987,-0.5
272,JJA,6,1987,6/12/1987,-0.9
273,JJA,6,1987,6/22/1987,-1.1
274,JJA,7,1987,7/2/1987,0.1
275,JJA,7,1987,7/12/1987,0.1
276,JJA,7,1987,7/22/1987,0
277,JJA,8,1987,8/1/1987,0.6
278,JJA,8,1987,8/11/1987,-1.4
279,JJA,8,1987,8/21/1987,0
280,JJA,8,1987,8/31/1987,0.5
281,SON,9,1987,9/10/1987,-0.8
282,SON,9,1987,9/20/1987,-0.9
283,SON,9,1987,9/30/1987,0.3
284,SON,10,1987,10/10/1987,-0.1
285,SON,10,1987,10/20/1987,-0.2
286,SON,10,1987,10/30/1987,0.4
287,SON,11,1987,11/9/1987,0.2
288,SON,11,1987,11/19/1987,-0.1
289,SON,11,1987,11/29/1987,-0.6
290,DJF,12,1987,12/9/1987,-0.5
291,DJF,12,1987,12/19/1987,0.3
292,DJF,12,1987,12/29/1987,0.5
293,DJF,1,1988,1/8/1988,0.5
294,DJF,1,1988,1/18/1988,0.5
295,DJF,1,1988,1/28/1988,0.6
296,DJF,2,1988,2/7/1988,1
297,DJF,2,1988,2/17/1988,0.4
298,DJF,2,1988,2/27/1988,0.1
299,MAM,3,1988,3/8/1988,0
300,MAM,3,1988,3/18/1988,0.1
301,MAM,3,1988,3/28/1988,0.2
302,MAM,4,1988,4/7/1988,-0.2
303,MAM,4,1988,4/17/1988,-1.5
304,MAM,4,1988,4/27/1988,-0.2
305,MAM,5,1988,5/7/1988,1.2
306,MAM,5,1988,5/17/1988,-0.1
307,MAM,5,1988,5/27/1988,-0.4
308,JJA,6,1988,6/6/1988,-0.2
309,JJA,6,1988,6/16/1988,1.4
310,JJA,6,1988,6/26/1988,0.4
311,JJA,7,1988,7/6/1988,-0.2
312,JJA,7,1988,7/16/1988,0.3
313,JJA,7,1988,7/26/1988,-0.4
314,JJA,8,1988,8/5/1988,0.7
315,JJA,8,1988,8/15/1988,-0.6
316,JJA,8,1988,8/25/1988,-0.1
317,SON,9,1988,9/4/1988,-0.5
318,SON,9,1988,9/14/1988,-0.3
319,SON,9,1988,9/24/1988,-0.6
320,SON,10,1988,10/4/1988,-0.1
321,SON,10,1988,10/14/1988,0.2
322,SON,10,1988,10/24/1988,-1.4
323,SON,11,1988,11/3/1988,-0.4
324,SON,11,1988,11/13/1988,0.5
325,SON,11,1988,11/23/1988,-1
326,DJF,12,1988,12/3/1988,0.4
327,DJF,12,1988,12/13/1988,-0.1
328,DJF,12,1988,12/23/1988,0.7
329,DJF,1,1989,1/2/1989,0.1
330,DJF,1,1989,1/12/1989,0.6
331,DJF,1,1989,1/22/1989,0.5
332,DJF,2,1989,2/1/1989,1.2
333,DJF,2,1989,2/11/1989,1.4
334,DJF,2,1989,2/21/1989,1.1
335,MAM,3,1989,3/3/1989,0.5
336,MAM,3,1989,3/13/1989,1.5
337,MAM,3,1989,3/23/1989,1
338,MAM,4,1989,4/2/1989,0.5
339,MAM,4,1989,4/12/1989,0.6
340,MAM,4,1989,4/22/1989,-0.6
341,MAM,5,1989,5/2/1989,1.4
342,MAM,5,1989,5/12/1989,0.9
343,MAM,5,1989,5/22/1989,0.6
344,JJA,6,1989,6/1/1989,-0.7
345,JJA,6,1989,6/11/1989,-0.2
346,JJA,6,1989,6/21/1989,0
347,JJA,7,1989,7/1/1989,0.8
348,JJA,7,1989,7/11/1989,0.7
349,JJA,7,1989,7/21/1989,0
350,JJA,7,1989,7/31/1989,-0.3
351,JJA,8,1989,8/10/1989,0.2
352,JJA,8,1989,8/20/1989,0.2
353,JJA,8,1989,8/30/1989,-0.1
354,SON,9,1989,9/9/1989,0.6
355,SON,9,1989,9/19/1989,1.3
356,SON,9,1989,9/29/1989,0.7
357,SON,10,1989,10/9/1989,-0.1
358,SON,10,1989,10/19/1989,-0.2
359,SON,10,1989,10/29/1989,0.7
360,SON,11,1989,11/8/1989,0.3
361,SON,11,1989,11/18/1989,-0.1
362,SON,11,1989,11/28/1989,-0.9
363,DJF,12,1989,12/8/1989,-1.4
364,DJF,12,1989,12/18/1989,0
365,DJF,12,1989,12/28/1989,-0.2
366,DJF,1,1990,1/7/1990,0.5
367,DJF,1,1990,1/17/1990,0.7
368,DJF,1,1990,1/27/1990,0.7
369,DJF,2,1990,2/6/1990,0.8
370,DJF,2,1990,2/16/1990,0.8
371,DJF,2,1990,2/26/1990,1.1
372,MAM,3,1990,3/8/1990,0.3
373,MAM,3,1990,3/18/1990,1.4
374,MAM,3,1990,3/28/1990,0.8
375,MAM,4,1990,4/7/1990,0.4
376,MAM,4,1990,4/17/1990,1.8
377,MAM,4,1990,4/27/1990,0.9
378,MAM,5,1990,5/7/1990,-0.4
379,MAM,5,1990,5/17/1990,-1
380,MAM,5,1990,5/27/1990,-0.9
381,JJA,6,1990,6/6/1990,0.7
382,JJA,6,1990,6/16/1990,-0.1
383,JJA,6,1990,6/26/1990,-0.7
384,JJA,7,1990,7/6/1990,0.4
385,JJA,7,1990,7/16/1990,0.3
386,JJA,7,1990,7/26/1990,0.1
387,JJA,8,1990,8/5/1990,0.1
388,JJA,8,1990,8/15/1990,0.7
389,JJA,8,1990,8/25/1990,0.4
390,SON,9,1990,9/4/1990,1.2
391,SON,9,1990,9/14/1990,1
392,SON,9,1990,9/24/1990,-0.4
393,SON,10,1990,10/4/1990,0.6
394,SON,10,1990,10/14/1990,0.1
395,SON,10,1990,10/24/1990,-0.4
396,SON,11,1990,11/3/1990,-0.7
397,SON,11,1990,11/13/1990,0.3
398,SON,11,1990,11/23/1990,-0.3
399,DJF,12,1990,12/3/1990,-0.3
400,DJF,12,1990,12/13/1990,-0.5
401,DJF,12,1990,12/23/1990,0.9
402,DJF,1,1991,1/2/1991,1.4
403,DJF,1,1991,1/12/1991,0.3
404,DJF,1,1991,1/22/1991,0.2
405,DJF,2,1991,2/1/1991,1
406,DJF,2,1991,2/11/1991,0.3
407,DJF,2,1991,2/21/1991,0.8
408,MAM,3,1991,3/3/1991,0.6
409,MAM,3,1991,3/13/1991,-0.4
410,MAM,3,1991,3/23/1991,0.3
411,MAM,4,1991,4/2/1991,0.7
412,MAM,4,1991,4/12/1991,0
413,MAM,4,1991,4/22/1991,-0.6
414,MAM,5,1991,5/2/1991,-1
415,MAM,5,1991,5/12/1991,0.3
416,MAM,5,1991,5/22/1991,1
417,JJA,6,1991,6/1/1991,-0.9
418,JJA,6,1991,6/11/1991,-0.6
419,JJA,6,1991,6/21/1991,0.1
420,JJA,7,1991,7/1/1991,0.6
421,JJA,7,1991,7/11/1991,-0.3
422,JJA,7,1991,7/21/1991,-0.5
423,JJA,7,1991,7/31/1991,-0.4
424,JJA,8,1991,8/10/1991,0
425,JJA,8,1991,8/20/1991,1.5
426,JJA,8,1991,8/30/1991,1.3
427,SON,9,1991,9/9/1991,0.1
428,SON,9,1991,9/19/1991,0.5
429,SON,9,1991,9/29/1991,-0.2
430,SON,10,1991,10/9/1991,0
431,SON,10,1991,10/19/1991,-0.4
432,SON,10,1991,10/29/1991,-0.3
433,SON,11,1991,11/8/1991,0.2
434,SON,11,1991,11/18/1991,-0.1
435,SON,11,1991,11/28/1991,0.4
436,DJF,12,1991,12/8/1991,-0.1
437,DJF,12,1991,12/18/1991,1
438,DJF,12,1991,12/28/1991,0.7
439,DJF,1,1992,1/7/1992,-0.1
440,DJF,1,1992,1/17/1992,-0.5
441,DJF,1,1992,1/27/1992,0.4
442,DJF,2,1992,2/6/1992,0.2
443,DJF,2,1992,2/16/1992,0.9
444,DJF,2,1992,2/26/1992,1.4
445,MAM,3,1992,3/7/1992,0.9
446,MAM,3,1992,3/17/1992,0.6
447,MAM,3,1992,3/27/1992,-0.1
448,MAM,4,1992,4/6/1992,0.3
449,MAM,4,1992,4/16/1992,1.2
450,MAM,4,1992,4/26/1992,1.4
451,MAM,5,1992,5/6/1992,1.8
452,MAM,5,1992,5/16/1992,1.5
453,MAM,5,1992,5/26/1992,0.6
454,JJA,6,1992,6/5/1992,0.5
455,JJA,6,1992,6/15/1992,0.7
456,JJA,6,1992,6/25/1992,-1.2
