,Season,Month,Year,Date,NAO-PC-H
910,SON,11,2004,11/29/2004,0.3
911,DJF,12,2004,12/9/2004,0.4
912,DJF,12,2004,12/19/2004,0.8
913,DJF,12,2004,12/29/2004,1.2
914,DJF,1,2005,1/8/2005,1.3
915,DJF,1,2005,1/18/2005,0.9
916,DJF,1,2005,1/28/2005,-0.1
917,DJF,2,2005,2/7/2005,1
918,DJF,2,2005,2/17/2005,0.2
919,DJF,2,2005,2/27/2005,-1.1
920,MAM,3,2005,3/9/2005,-1
921,MAM,3,2005,3/19/2005,-0.6
922,MAM,3,2005,3/29/2005,-0.3
923,MAM,4,2005,4/8/2005,0.4
924,MAM,4,2005,4/18/2005,-0.1
925,MAM,4,2005,4/28/2005,-0.6
926,MAM,5,2005,5/8/2005,0.7
927,MAM,5,2005,5/18/2005,-1.5
928,MAM,5,2005,5/28/2005,-1.1
929,JJA,6,2005,6/7/2005,-0.3
930,JJA,6,2005,6/17/2005,-0.5
931,JJA,6,2005,6/27/2005,0.9
932,JJA,7,2005,7/7/2005,0.5
933,JJA,7,2005,7/17/2005,-0.4
934,JJA,7,2005,7/27/2005,-0.7
935,JJA,8,2005,8/6/2005,-0.2
936,JJA,8,2005,8/16/2005,0.2
937,JJA,8,2005,8/26/2005,0.3
938,SON,9,2005,9/5/2005,0.3
939,SON,9,2005,9/15/2005,0.4
940,SON,9,2005,9/25/2005,0.1
941,SON,10,2005,10/5/2005,1.2
942,SON,10,2005,10/15/2005,-1
943,SON,10,2005,10/25/2005,-1.5
944,SON,11,2005,11/4/2005,0.2
945,SON,11,2005,11/14/2005,0.2
946,SON,11,2005,11/24/2005,-0.8
947,DJF,12,2005,12/4/2005,-0.6
948,DJF,12,2005,12/14/2005,-0.2
949,DJF,12,2005,12/24/2005,0
950,DJF,1,2006,1/3/2006,0.6
951,DJF,1,2006,1/13/2006,1.3
952,DJF,1,2006,1/23/2006,0.2
953,DJF,2,2006,2/2/2006,-0.2
954,DJF,2,2006,2/12/2006,0.4
955,DJF,2,2006,2/22/2006,-0.5
956,MAM,3,2006,3/4/2006,-0.6
957,MAM,3,2006,3/14/2006,-0.5
958,MAM,3,2006,3/24/2006,-0.8
959,MAM,4,2006,4/3/2006,-0.1
960,MAM,4,2006,4/13/2006,0.6
961,MAM,4,2006,4/23/2006,0.7
962,MAM,5,2006,5/3/2006,0.5
963,MAM,5,2006,5/13/2006,-1.4
964,MAM,5,2006,5/23/2006,-0.4
965,JJA,6,2006,6/2/2006,0.3
966,JJA,6,2006,6/12/2006,0.6
967,JJA,6,2006,6/22/2006,0.7
968,JJA,7,2006,7/2/2006,0.7
969,JJA,7,2006,7/12/2006,1.1
970,JJA,7,2006,7/22/2006,0
971,JJA,8,2006,8/1/2006,-0.8
972,JJA,8,2006,8/11/2006,-1.2
973,JJA,8,2006,8/21/2006,-0.4
974,JJA,8,2006,8/31/2006,-1
975,SON,9,2006,9/10/2006,-0.1
976,SON,9,2006,9/20/2006,-1.2
977,SON,9,2006,9/30/2006,-0.8
978,SON,10,2006,10/10/2006,-0.6
979,SON,10,2006,10/20/2006,-1.9
980,SON,10,2006,10/30/2006,-1
981,SON,11,2006,11/9/2006,0.4
982,SON,11,2006,11/19/2006,0
983,SON,11,2006,11/29/2006,0.7
984,DJF,12,2006,12/9/2006,1.2
985,DJF,12,2006,12/19/2006,0.2
986,DJF,12,2006,12/29/2006,0.4
987,DJF,1,2007,1/8/2007,1
988,DJF,1,2007,1/18/2007,0.1
989,DJF,1,2007,1/28/2007,-0.7
990,DJF,2,2007,2/7/2007,0
991,DJF,2,2007,2/17/2007,-0.1
992,DJF,2,2007,2/27/2007,0
993,MAM,3,2007,3/9/2007,1.1
994,MAM,3,2007,3/19/2007,1.2
995,MAM,3,2007,3/29/2007,0.1
996,MAM,4,2007,4/8/2007,0.1
997,MAM,4,2007,4/18/2007,0
998,MAM,4,2007,4/28/2007,0.1
999,MAM,5,2007,5/8/2007,0.5
1000,MAM,5,2007,5/18/2007,0.8
1001,MAM,5,2007,5/28/2007,-0.3
1002,JJA,6,2007,6/7/2007,-0.7
1003,JJA,6,2007,6/17/2007,-0.5
1004,JJA,6,2007,6/27/2007,-0.7
1005,JJA,7,2007,7/7/2007,-0.8
1006,JJA,7,2007,7/17/2007,-0.1
1007,JJA,7,2007,7/27/2007,0.2
1008,JJA,8,2007,8/6/2007,0.1
1009,JJA,8,2007,8/16/2007,-0.4
1010,JJA,8,2007,8/26/2007,-0.1
1011,SON,9,2007,9/5/2007,0
1012,SON,9,2007,9/15/2007,0.5
1013,SON,9,2007,9/25/2007,0.2
1014,SON,10,2007,10/5/2007,-0.3
1015,SON,10,2007,10/15/2007,-0.4
1016,SON,10,2007,10/25/2007,1
1017,SON,11,2007,11/4/2007,0.6
1018,SON,11,2007,11/14/2007,-0.4
1019,SON,11,2007,11/24/2007,0.8
1020,DJF,12,2007,12/4/2007,1
1021,DJF,12,2007,12/14/2007,-0.6
1022,DJF,12,2007,12/24/2007,0.2
1023,DJF,1,2008,1/3/2008,0.6
1024,DJF,1,2008,1/13/2008,0.2
1025,DJF,1,2008,1/23/2008,0.5
1026,DJF,2,2008,2/2/2008,0.2
1027,DJF,2,2008,2/12/2008,0.3
1028,DJF,2,2008,2/22/2008,1
1029,MAM,3,2008,3/3/2008,0.8
1030,MAM,3,2008,3/13/2008,0.3
1031,MAM,3,2008,3/23/2008,-0.2
1032,MAM,4,2008,4/2/2008,-0.6
1033,MAM,4,2008,4/12/2008,-0.3
1034,MAM,4,2008,4/22/2008,-0.5
1035,MAM,5,2008,5/2/2008,-0.8
1036,MAM,5,2008,5/12/2008,-0.8
1037,MAM,5,2008,5/22/2008,-0.9
1038,JJA,6,2008,6/1/2008,0.2
1039,JJA,6,2008,6/11/2008,-0.8
1040,JJA,6,2008,6/21/2008,-0.9
1041,JJA,7,2008,7/1/2008,-1
1042,JJA,7,2008,7/11/2008,-0.2
1043,JJA,7,2008,7/21/2008,-0.3
1044,JJA,7,2008,7/31/2008,-2.1
1045,JJA,8,2008,8/10/2008,-0.8
1046,JJA,8,2008,8/20/2008,0.7
1047,JJA,8,2008,8/30/2008,-1.1
1048,SON,9,2008,9/9/2008,0.2
1049,SON,9,2008,9/19/2008,1
1050,SON,9,2008,9/29/2008,0
1051,SON,10,2008,10/9/2008,-0.2
1052,SON,10,2008,10/19/2008,0.8
1053,SON,10,2008,10/29/2008,-0.2
1054,SON,11,2008,11/8/2008,0
1055,SON,11,2008,11/18/2008,0.1
1056,SON,11,2008,11/28/2008,-1
1057,DJF,12,2008,12/8/2008,-0.2
1058,DJF,12,2008,12/18/2008,0.4
1059,DJF,12,2008,12/28/2008,-0.9
1060,DJF,1,2009,1/7/2009,-0.6
1061,DJF,1,2009,1/17/2009,0.6
1062,DJF,1,2009,1/27/2009,0.2
1063,DJF,2,2009,2/6/2009,-0.2
1064,DJF,2,2009,2/16/2009,0
1065,DJF,2,2009,2/26/2009,0.8
1066,MAM,3,2009,3/8/2009,0.5
1067,MAM,3,2009,3/18/2009,0.6
1068,MAM,3,2009,3/28/2009,-0.4
1069,MAM,4,2009,4/7/2009,-0.1
1070,MAM,4,2009,4/17/2009,-0.2
1071,MAM,4,2009,4/27/2009,0.5
1072,MAM,5,2009,5/7/2009,1.8
1073,MAM,5,2009,5/17/2009,0.6
1074,MAM,5,2009,5/27/2009,0.3
1075,JJA,6,2009,6/6/2009,-1.3
1076,JJA,6,2009,6/16/2009,-0.2
1077,JJA,6,2009,6/26/2009,-0.4
1078,JJA,7,2009,7/6/2009,-0.7
1079,JJA,7,2009,7/16/2009,-1.3
1080,JJA,7,2009,7/26/2009,-0.9
1081,JJA,8,2009,8/5/2009,-0.5
1082,JJA,8,2009,8/15/2009,0.3
1083,JJA,8,2009,8/25/2009,-0.2
1084,SON,9,2009,9/4/2009,0.5
1085,SON,9,2009,9/14/2009,0.6
1086,SON,9,2009,9/24/2009,1.1
1087,SON,10,2009,10/4/2009,-1
1088,SON,10,2009,10/14/2009,-0.3
1089,SON,10,2009,10/24/2009,-0.3
1090,SON,11,2009,11/3/2009,0.5
1091,SON,11,2009,11/13/2009,-0.2
1092,SON,11,2009,11/23/2009,0
1093,DJF,12,2009,12/3/2009,-0.9
1094,DJF,12,2009,12/13/2009,-1.8
1095,DJF,12,2009,12/23/2009,-1.1
1096,DJF,1,2010,1/2/2010,-1.5
1097,DJF,1,2010,1/12/2010,-0.5
1098,DJF,1,2010,1/22/2010,-0.1
1099,DJF,2,2010,2/1/2010,-0.4
1100,DJF,2,2010,2/11/2010,-1.2
1101,DJF,2,2010,2/21/2010,-0.8
1102,MAM,3,2010,3/3/2010,-0.5
1103,MAM,3,2010,3/13/2010,-0.5
1104,MAM,3,2010,3/23/2010,0.1
1105,MAM,4,2010,4/2/2010,0.2
1106,MAM,4,2010,4/12/2010,0
1107,MAM,4,2010,4/22/2010,-1.3
1108,MAM,5,2010,5/2/2010,-0.6
1109,MAM,5,2010,5/12/2010,-0.7
1110,MAM,5,2010,5/22/2010,-0.6
1111,JJA,6,2010,6/1/2010,-0.6
1112,JJA,6,2010,6/11/2010,-0.3
1113,JJA,6,2010,6/21/2010,-0.3
1114,JJA,7,2010,7/1/2010,-0.6
1115,JJA,7,2010,7/11/2010,0.1
1116,JJA,7,2010,7/21/2010,-0.4
1117,JJA,7,2010,7/31/2010,0.3
1118,JJA,8,2010,8/10/2010,-0.2
1119,JJA,8,2010,8/20/2010,-1.3
1120,JJA,8,2010,8/30/2010,-1.1
1121,SON,9,2010,9/9/2010,-0.5
1122,SON,9,2010,9/19/2010,-0.4
1123,SON,9,2010,9/29/2010,0.4
1124,SON,10,2010,10/9/2010,-0.4
1125,SON,10,2010,10/19/2010,-0.8
1126,SON,10,2010,10/29/2010,-0.2
1127,SON,11,2010,11/8/2010,-0.5
1128,SON,11,2010,11/18/2010,-0.6
1129,SON,11,2010,11/28/2010,-2.3
1130,DJF,12,2010,12/8/2010,-1
1131,DJF,12,2010,12/18/2010,-1.1
1132,DJF,12,2010,12/28/2010,-1.2
1133,DJF,1,2011,1/7/2011,-0.9
1134,DJF,1,2011,1/17/2011,0.2
1135,DJF,1,2011,1/27/2011,-0.2
1136,DJF,2,2011,2/6/2011,0.7
1137,DJF,2,2011,2/16/2011,0.2
1138,DJF,2,2011,2/26/2011,0.9
1139,MAM,3,2011,3/8/2011,0.8
1140,MAM,3,2011,3/18/2011,0.7
1141,MAM,3,2011,3/28/2011,-0.9
1142,MAM,4,2011,4/7/2011,0.7
1143,MAM,4,2011,4/17/2011,1.8
1144,MAM,4,2011,4/27/2011,1.4
1145,MAM,5,2011,5/7/2011,-0.2
1146,MAM,5,2011,5/17/2011,-0.4
1147,MAM,5,2011,5/27/2011,0.5
1148,JJA,6,2011,6/6/2011,-0.1
1149,JJA,6,2011,6/16/2011,-1.5
1150,JJA,6,2011,6/26/2011,-0.9
1151,JJA,7,2011,7/6/2011,-1
1152,JJA,7,2011,7/16/2011,-0.6
1153,JJA,7,2011,7/26/2011,-0.6
1154,JJA,8,2011,8/5/2011,-1.9
1155,JJA,8,2011,8/15/2011,0
1156,JJA,8,2011,8/25/2011,-0.4
1157,SON,9,2011,9/4/2011,0.2
1158,SON,9,2011,9/14/2011,0.4
1159,SON,9,2011,9/24/2011,0.1
1160,SON,10,2011,10/4/2011,0.4
1161,SON,10,2011,10/14/2011,-0.1
1162,SON,10,2011,10/24/2011,0.5
1163,SON,11,2011,11/3/2011,0.3
1164,SON,11,2011,11/13/2011,0.1
1165,SON,11,2011,11/23/2011,1.4
1166,DJF,12,2011,12/3/2011,1.7
1167,DJF,12,2011,12/13/2011,1.2
1168,DJF,12,2011,12/23/2011,1.1
1169,DJF,1,2012,1/2/2012,1.1
1170,DJF,1,2012,1/12/2012,0.4
1171,DJF,1,2012,1/22/2012,0.8
1172,DJF,2,2012,2/1/2012,0.2
1173,DJF,2,2012,2/11/2012,0.4
1174,DJF,2,2012,2/21/2012,0.5
1175,MAM,3,2012,3/2/2012,1
1176,MAM,3,2012,3/12/2012,1.1
1177,MAM,3,2012,3/22/2012,0.4
1178,MAM,4,2012,4/1/2012,-0.4
1179,MAM,4,2012,4/11/2012,0.3
1180,MAM,4,2012,4/21/2012,0.4
1181,MAM,5,2012,5/1/2012,0
1182,MAM,5,2012,5/11/2012,-0.3
1183,MAM,5,2012,5/21/2012,0.1
1184,MAM,5,2012,5/31/2012,-1.7
1185,JJA,6,2012,6/10/2012,-1.2
1186,JJA,6,2012,6/20/2012,-0.8
1187,JJA,6,2012,6/30/2012,-0.9
1188,JJA,7,2012,7/10/2012,-1
1189,JJA,7,2012,7/20/2012,-0.6
1190,JJA,7,2012,7/30/2012,-0.6
1191,JJA,8,2012,8/9/2012,-0.2
1192,JJA,8,2012,8/19/2012,-0.9
1193,JJA,8,2012,8/29/2012,0.2
1194,SON,9,2012,9/8/2012,0.1
1195,SON,9,2012,9/18/2012,-0.6
1196,SON,9,2012,9/28/2012,-0.7
1197,SON,10,2012,10/8/2012,-0.3
1198,SON,10,2012,10/18/2012,-1.2
1199,SON,10,2012,10/28/2012,-1.9
1200,SON,11,2012,11/7/2012,-0.3
1201,SON,11,2012,11/17/2012,0.1
1202,SON,11,2012,11/27/2012,-0.3
1203,DJF,12,2012,12/7/2012,-0.4
1204,DJF,12,2012,12/17/2012,-0.3
1205,DJF,12,2012,12/27/2012,0.5
1206,DJF,1,2013,1/6/2013,0.3
1207,DJF,1,2013,1/16/2013,0
1208,DJF,1,2013,1/26/2013,0.2
1209,DJF,2,2013,2/5/2013,0.6
1210,DJF,2,2013,2/15/2013,-0.1
1211,DJF,2,2013,2/25/2013,-0.8
1212,MAM,3,2013,3/7/2013,-0.5
1213,MAM,3,2013,3/17/2013,-0.6
1214,MAM,3,2013,3/27/2013,-1.1
1215,MAM,4,2013,4/6/2013,-0.6
1216,MAM,4,2013,4/16/2013,0.5
1217,MAM,4,2013,4/26/2013,1.3
1218,MAM,5,2013,5/6/2013,0.6
1219,MAM,5,2013,5/16/2013,0.5
1220,MAM,5,2013,5/26/2013,-0.2
1221,JJA,6,2013,6/5/2013,0.2
1222,JJA,6,2013,6/15/2013,0.1
1223,JJA,6,2013,6/25/2013,1
1224,JJA,7,2013,7/5/2013,0.9
1225,JJA,7,2013,7/15/2013,0.1
1226,JJA,7,2013,7/25/2013,-0.3
1227,JJA,8,2013,8/4/2013,-0.7
1228,JJA,8,2013,8/14/2013,0.6
1229,JJA,8,2013,8/24/2013,1.2
1230,SON,9,2013,9/3/2013,0.8
1231,SON,9,2013,9/13/2013,0.8
1232,SON,9,2013,9/23/2013,-1
1233,SON,10,2013,10/3/2013,-0.6
1234,SON,10,2013,10/13/2013,-1
1235,SON,10,2013,10/23/2013,-0.7
1236,SON,11,2013,11/2/2013,0.5
1237,SON,11,2013,11/12/2013,0.8
1238,SON,11,2013,11/22/2013,0
1239,DJF,12,2013,12/2/2013,0.1
1240,DJF,12,2013,12/12/2013,0.5
1241,DJF,12,2013,12/22/2013,0.9
1242,DJF,1,2014,1/1/2014,-0.1
1243,DJF,1,2014,1/11/2014,-0.2
1244,DJF,1,2014,1/21/2014,0.4
1245,DJF,1,2014,1/31/2014,0.8
1246,DJF,2,2014,2/10/2014,0.9
1247,DJF,2,2014,2/20/2014,0.8
1248,MAM,3,2014,3/2/2014,0.9
1249,MAM,3,2014,3/12/2014,0.6
1250,MAM,3,2014,3/22/2014,0.6
1251,MAM,4,2014,4/1/2014,-0.3
1252,MAM,4,2014,4/11/2014,0.7
1253,MAM,4,2014,4/21/2014,0
1254,MAM,5,2014,5/1/2014,-0.7
1255,MAM,5,2014,5/11/2014,-0.7
1256,MAM,5,2014,5/21/2014,-0.2
1257,MAM,5,2014,5/31/2014,0
1258,JJA,6,2014,6/10/2014,-0.5
1259,JJA,6,2014,6/20/2014,-0.7
1260,JJA,6,2014,6/30/2014,0
1261,JJA,7,2014,7/10/2014,0.1
1262,JJA,7,2014,7/20/2014,-0.3
1263,JJA,7,2014,7/30/2014,-0.1
1264,JJA,8,2014,8/9/2014,-0.6
1265,JJA,8,2014,8/19/2014,-1.6
1266,JJA,8,2014,8/29/2014,-0.5
1267,SON,9,2014,9/8/2014,0.7
1268,SON,9,2014,9/18/2014,0.5
1269,SON,9,2014,9/28/2014,1.1
1270,SON,10,2014,10/8/2014,-1.3
1271,SON,10,2014,10/18/2014,-0.4
1272,SON,10,2014,10/28/2014,-0.3
1273,SON,11,2014,11/7/2014,0.2
1274,SON,11,2014,11/17/2014,0
1275,SON,11,2014,11/27/2014,0.8
1276,DJF,12,2014,12/7/2014,1.3
1277,DJF,12,2014,12/17/2014,1.5
1278,DJF,12,2014,12/27/2014,-0.1
1279,DJF,1,2015,1/6/2015,1.2
1280,DJF,1,2015,1/16/2015,0.7
1281,DJF,1,2015,1/26/2015,0.9
1282,DJF,2,2015,2/5/2015,0.4
1283,DJF,2,2015,2/15/2015,1
1284,DJF,2,2015,2/25/2015,1.2
1285,MAM,3,2015,3/7/2015,1
1286,MAM,3,2015,3/17/2015,0.5
1287,MAM,3,2015,3/27/2015,1.3
1288,MAM,4,2015,4/6/2015,1
1289,MAM,4,2015,4/16/2015,0.8
1290,MAM,4,2015,4/26/2015,-1.4
1291,MAM,5,2015,5/6/2015,-0.2
1292,MAM,5,2015,5/16/2015,0.2
1293,MAM,5,2015,5/26/2015,0.6
1294,JJA,6,2015,6/5/2015,0.1
1295,JJA,6,2015,6/15/2015,0.3
1296,JJA,6,2015,6/25/2015,-0.5
1297,JJA,7,2015,7/5/2015,-1.4
1298,JJA,7,2015,7/15/2015,-1.9
1299,JJA,7,2015,7/25/2015,-1.2
1300,JJA,8,2015,8/4/2015,-0.4
1301,JJA,8,2015,8/14/2015,0.4
1302,JJA,8,2015,8/24/2015,-1
1303,SON,9,2015,9/3/2015,-0.6
1304,SON,9,2015,9/13/2015,-0.7
1305,SON,9,2015,9/23/2015,-0.1
1306,SON,10,2015,10/3/2015,0.1
1307,SON,10,2015,10/13/2015,0.4
1308,SON,10,2015,10/23/2015,0.7
1309,SON,11,2015,11/2/2015,0.7
1310,SON,11,2015,11/12/2015,0.8
1311,SON,11,2015,11/22/2015,0.7
1312,DJF,12,2015,12/2/2015,1.9
1313,DJF,12,2015,12/12/2015,0.6
1314,DJF,12,2015,12/22/2015,1.1
1315,DJF,1,2016,1/1/2016,0.7
1316,DJF,1,2016,1/11/2016,-0.8
1317,DJF,1,2016,1/21/2016,0.1
1318,DJF,1,2016,1/31/2016,1.1
1319,DJF,2,2016,2/10/2016,1
1320,DJF,2,2016,2/20/2016,1.2
1321,MAM,3,2016,3/1/2016,0.8
1322,MAM,3,2016,3/11/2016,0.5
1323,MAM,3,2016,3/21/2016,0.2
1324,MAM,3,2016,3/31/2016,0.8
1325,MAM,4,2016,4/10/2016,-0.1
1326,MAM,4,2016,4/20/2016,0.3
1327,MAM,4,2016,4/30/2016,-0.4
1328,MAM,5,2016,5/10/2016,-0.6
1329,MAM,5,2016,5/20/2016,-0.3
1330,MAM,5,2016,5/30/2016,-0.1
1331,JJA,6,2016,6/9/2016,-0.7
1332,JJA,6,2016,6/19/2016,0.1
1333,JJA,6,2016,6/29/2016,0.3
1334,JJA,7,2016,7/9/2016,-1.4
1335,JJA,7,2016,7/19/2016,-0.1
1336,JJA,7,2016,7/29/2016,-1.2
1337,JJA,8,2016,8/8/2016,-0.7
1338,JJA,8,2016,8/18/2016,-0.9
1339,JJA,8,2016,8/28/2016,-0.7
1340,SON,9,2016,9/7/2016,0.7
1341,SON,9,2016,9/17/2016,0.5
1342,SON,9,2016,9/27/2016,-0.5
1343,SON,10,2016,10/7/2016,0.3
1344,SON,10,2016,10/17/2016,0.2
1345,SON,10,2016,10/27/2016,0.1
1346,SON,11,2016,11/6/2016,-0.2
1347,SON,11,2016,11/16/2016,0.5
1348,SON,11,2016,11/26/2016,-0.4
1349,DJF,12,2016,12/6/2016,-0.6
1350,DJF,12,2016,12/16/2016,0
1351,DJF,12,2016,12/26/2016,1
