,Season,Month,Year,Date,NAO-PC-H,NAO-ST-H,NAO-ST-J
1,DJF,1,1980,Jan-80,-0.8,-1.7,-1.8
2,DJF,2,1980,Feb-80,0.1,0.5,0.7
3,MAM,3,1980,Mar-80,-0.3,0,-0.7
4,MAM,4,1980,Apr-80,1.3,-0.2,0
5,MAM,5,1980,May-80,-1.5,-2.1,-2.3
6,JJA,6,1980,Jun-80,-0.4,1.3,-0.2
7,JJA,7,1980,Jul-80,-0.4,-1.6,-0.9
8,JJA,8,1980,Aug-80,-2.2,-2.1,0.3
9,SON,9,1980,Sep-80,0.7,1.6,1.7
10,SON,10,1980,Oct-80,-1.8,-1.3,-0.9
11,SON,11,1980,Nov-80,-0.4,-2.7,-2.1
12,DJF,12,1980,Dec-80,0.8,1.5,1.5
13,DJF,1,1981,Jan-81,0.4,1,1
14,DJF,2,1981,Feb-81,0.9,1.2,1
15,MAM,3,1981,Mar-81,-1.2,-1.1,0
16,MAM,4,1981,Apr-81,0.4,-1.2,-3
17,MAM,5,1981,May-81,0.2,0.1,0.1
18,JJA,6,1981,Jun-81,-0.4,-1.8,-1.6
19,JJA,7,1981,Jul-81,0.1,1.6,1.7
20,JJA,8,1981,Aug-81,0.4,0.4,1
21,SON,9,1981,Sep-81,-1.5,-0.3,0.3
22,SON,10,1981,Oct-81,-1.4,0.3,-1.1
23,SON,11,1981,Nov-81,-0.4,-0.8,1.7
24,DJF,12,1981,Dec-81,0,-1.6,-2.2
25,DJF,1,1982,Jan-82,-0.9,-1.3,-0.7
26,DJF,2,1982,Feb-82,1.1,1.7,2.3
27,MAM,3,1982,Mar-82,1.1,2.5,1.7
28,MAM,4,1982,Apr-82,0.1,-0.6,-1
29,MAM,5,1982,May-82,-0.5,1,1.1
30,JJA,6,1982,Jun-82,-1.6,-3,-1.9
31,JJA,7,1982,Jul-82,1.1,-0.8,-0.6
32,JJA,8,1982,Aug-82,0.3,2.5,1.5
33,SON,9,1982,Sep-82,1.8,0.5,1.1
34,SON,10,1982,Oct-82,-0.7,1.1,0.3
35,SON,11,1982,Nov-82,1.6,2.2,1.7
36,DJF,12,1982,Dec-82,1.8,2.6,2.6
37,DJF,1,1983,Jan-83,1.6,2.6,4.8
38,DJF,2,1983,Feb-83,-0.5,-1.1,-1.3
39,MAM,3,1983,Mar-83,0.9,2,1.8
40,MAM,4,1983,Apr-83,-0.9,-1.2,-1
41,MAM,5,1983,May-83,-0.1,-0.4,-0.6
42,JJA,6,1983,Jun-83,1,0.6,0.5
43,JJA,7,1983,Jul-83,1.2,-0.5,-0.8
44,JJA,8,1983,Aug-83,1.6,1.4,0.6
45,SON,9,1983,Sep-83,-1.1,-1.9,-0.6
46,SON,10,1983,Oct-83,0.6,2,2.1
47,SON,11,1983,Nov-83,-1,-3.6,-2.3
48,DJF,12,1983,Dec-83,0.3,0.3,0.8
49,DJF,1,1984,Jan-84,1.7,3.4,2.5
50,DJF,2,1984,Feb-84,0.7,1.6,1.7
51,MAM,3,1984,Mar-84,-0.4,-1.9,-2.1
52,MAM,4,1984,Apr-84,-0.3,-1,0.3
53,MAM,5,1984,May-84,0.5,1.6,-2.3
54,JJA,6,1984,Jun-84,-0.4,0.3,0.3
55,JJA,7,1984,Jul-84,-0.1,-1.7,0.9
56,JJA,8,1984,Aug-84,1.1,0.5,1
57,SON,9,1984,Sep-84,0.2,0.4,-1.3
58,SON,10,1984,Oct-84,-0.1,1.3,1.7
59,SON,11,1984,Nov-84,-0.1,0.3,-1.2
60,DJF,12,1984,Dec-84,0,1.5,1.5
61,DJF,1,1985,Jan-85,-1.6,-2.7,-2.9
62,DJF,2,1985,Feb-85,-0.5,-1.5,-0.2
63,MAM,3,1985,Mar-85,0.2,0.6,0.1
64,MAM,4,1985,Apr-85,0.3,0.2,0.3
65,MAM,5,1985,May-85,-0.5,-0.9,-2.1
66,JJA,6,1985,Jun-85,-0.8,-1.9,-1.1
67,JJA,7,1985,Jul-85,1.2,0.3,1.1
68,JJA,8,1985,Aug-85,-0.5,1.2,2.3
69,SON,9,1985,Sep-85,-0.5,-1.7,0
70,SON,10,1985,Oct-85,0.9,-0.4,0.1
71,SON,11,1985,Nov-85,-0.7,-2.4,-2.8
72,DJF,12,1985,Dec-85,0.2,-1.2,-0.4
73,DJF,1,1986,Jan-86,1.1,2.4,1.5
74,DJF,2,1986,Feb-86,-1,-2.7,-4
75,MAM,3,1986,Mar-86,1.7,3.9,2.9
76,MAM,4,1986,Apr-86,-0.6,0,-0.9
77,MAM,5,1986,May-86,0.9,2.4,2.2
78,JJA,6,1986,Jun-86,1.2,0.6,-1.3
79,JJA,7,1986,Jul-86,0.1,0.6,0.9
80,JJA,8,1986,Aug-86,-1.1,-3.7,-2.2
81,SON,9,1986,Sep-86,-1.1,-3.3,-1.3
82,SON,10,1986,Oct-86,1.5,3.6,2.3
83,SON,11,1986,Nov-86,2.3,3.3,3.4
84,DJF,12,1986,Dec-86,1,1.9,3.4
85,DJF,1,1987,Jan-87,-1.1,-3.5,-2.1
86,DJF,2,1987,Feb-87,-0.7,-0.7,-0.2
87,MAM,3,1987,Mar-87,0.1,-0.1,0.3
88,MAM,4,1987,Apr-87,2,0.6,2.6
89,MAM,5,1987,May-87,1,-1.8,-0.8
90,JJA,6,1987,Jun-87,-1.8,-1.1,-0.6
91,JJA,7,1987,Jul-87,0.5,0,-1.3
92,JJA,8,1987,Aug-87,-0.8,-3.3,-3
93,SON,9,1987,Sep-87,-1.2,-0.4,1.3
94,SON,10,1987,Oct-87,0.1,0.8,-0.8
95,SON,11,1987,Nov-87,0.2,0.1,-0.7
96,DJF,12,1987,Dec-87,0.3,-2.3,-0.8
97,DJF,1,1988,Jan-88,1,1.1,0.5
98,DJF,2,1988,Feb-88,0.8,0.3,-0.1
99,MAM,3,1988,Mar-88,-0.2,0.9,0.8
100,MAM,4,1988,Apr-88,-1.2,-2.4,-2.4
101,MAM,5,1988,May-88,0.6,-0.4,-1.2
102,JJA,6,1988,Jun-88,0.9,0.2,-2.8
103,JJA,7,1988,Jul-88,-0.3,0.8,1.5
104,JJA,8,1988,Aug-88,0,1.5,0.7
105,SON,9,1988,Sep-88,-1,0.6,0.8
106,SON,10,1988,Oct-88,-1.1,-1.6,-2
107,SON,11,1988,Nov-88,-0.3,-2.2,-1.5
108,DJF,12,1988,Dec-88,0.6,0.5,1.9
109,DJF,1,1989,Jan-89,1.2,2.4,3.5
110,DJF,2,1989,Feb-89,2,3.2,3.6
111,MAM,3,1989,Mar-89,1.9,3.2,2.5
112,MAM,4,1989,Apr-89,0.3,0.8,-0.5
113,MAM,5,1989,May-89,1.4,0.3,1.2
114,JJA,6,1989,Jun-89,-0.3,-1.2,-0.5
115,JJA,7,1989,Jul-89,1,-0.6,0.6
116,JJA,8,1989,Aug-89,0,2.4,1.8
117,SON,9,1989,Sep-89,2,-0.4,-1
118,SON,10,1989,Oct-89,0,0.9,0.9
119,SON,11,1989,Nov-89,0.2,-1.4,-3
120,DJF,12,1989,Dec-89,-1.1,-3.4,-2.2
121,DJF,1,1990,Jan-90,1,3,3.5
122,DJF,2,1990,Feb-90,1.4,3.2,5.1
123,MAM,3,1990,Mar-90,1.5,2.3,3.1
124,MAM,4,1990,Apr-90,2,3.1,1.8
125,MAM,5,1990,May-90,-1.5,-2,-1.2
126,JJA,6,1990,Jun-90,0,1,0.4
127,JJA,7,1990,Jul-90,0.5,-0.1,1.4
128,JJA,8,1990,Aug-90,1,0.9,3.3
129,SON,9,1990,Sep-90,1.1,-0.7,-1
130,SON,10,1990,Oct-90,0.2,0.5,-0.6
131,SON,11,1990,Nov-90,-0.2,-1.1,-1.5
132,DJF,12,1990,Dec-90,0.2,1.1,0.3
133,DJF,1,1991,Jan-91,0.9,0.7,1.9
134,DJF,2,1991,Feb-91,1,0.5,0
135,MAM,3,1991,Mar-91,-0.2,-0.1,-1.4
136,MAM,4,1991,Apr-91,0.3,1.1,1.5
137,MAM,5,1991,May-91,0.1,1,0
138,JJA,6,1991,Jun-91,-0.8,-0.9,-0.3
139,JJA,7,1991,Jul-91,-0.5,-1.4,-0.3
140,JJA,8,1991,Aug-91,1.2,1.6,2.7
141,SON,9,1991,Sep-91,0.5,-0.5,-1.1
142,SON,10,1991,Oct-91,-0.2,-0.3,-1.8
143,SON,11,1991,Nov-91,0.5,1.6,1.7
144,DJF,12,1991,Dec-91,0.5,0.2,1.2
145,DJF,1,1992,Jan-92,-0.1,-1,0.6
146,DJF,2,1992,Feb-92,1.1,2,3.2
147,MAM,3,1992,Mar-92,0.9,2,1.7
148,MAM,4,1992,Apr-92,1.9,1.8,1.3
149,MAM,5,1992,May-92,2.6,0.3,0.8
150,JJA,6,1992,Jun-92,0.2,-0.2,-1.7
151,JJA,7,1992,Jul-92,0.2,-0.2,1
152,JJA,8,1992,Aug-92,0.9,2.3,4
153,SON,9,1992,Sep-92,-0.4,-0.5,1
154,SON,10,1992,Oct-92,-1.8,-1.2,-3.3
155,SON,11,1992,Nov-92,1.2,2.2,4.5
156,DJF,12,1992,Dec-92,0.5,1.2,0.2
157,DJF,1,1993,Jan-93,1.6,2.1,3.9
158,DJF,2,1993,Feb-93,0.5,0.3,0.1
159,MAM,3,1993,Mar-93,0.7,1.2,1.5
160,MAM,4,1993,Apr-93,1,1.5,0.8
161,MAM,5,1993,May-93,-0.8,-3.6,-2.6
162,JJA,6,1993,Jun-93,-0.6,-0.3,0.2
163,JJA,7,1993,Jul-93,-3.2,-0.2,0.6
164,JJA,8,1993,Aug-93,0.1,-0.2,0.8
165,SON,9,1993,Sep-93,-0.6,-2.6,-2.6
166,SON,10,1993,Oct-93,-0.7,-0.7,-4.1
167,SON,11,1993,Nov-93,2.6,2.5,0.8
168,DJF,12,1993,Dec-93,1.6,2.6,2.2
169,DJF,1,1994,Jan-94,1,2,1.3
170,DJF,2,1994,Feb-94,0.5,-0.4,0.1
171,MAM,3,1994,Mar-94,1.3,4.4,3.7
172,MAM,4,1994,Apr-94,1.1,1.1,1.4
173,MAM,5,1994,May-94,-0.6,-0.5,-1.4
174,JJA,6,1994,Jun-94,1.5,2.1,3
175,JJA,7,1994,Jul-94,1.3,0.7,-0.1
176,JJA,8,1994,Aug-94,0.4,-1,-1.6
177,SON,9,1994,Sep-94,-1.3,-0.1,-2.8
178,SON,10,1994,Oct-94,-1,-1.2,-1.9
179,SON,11,1994,Nov-94,0.6,0.2,1.7
180,DJF,12,1994,Dec-94,2,1.6,2.9
181,DJF,1,1995,Jan-95,0.9,1.4,2.7
182,DJF,2,1995,Feb-95,1.1,2.3,3.1
183,MAM,3,1995,Mar-95,1.3,1.8,1.1
184,MAM,4,1995,Apr-95,-0.9,-1.9,-1.8
185,MAM,5,1995,May-95,-1.5,-0.8,-0.4
186,JJA,6,1995,Jun-95,0.1,-2.1,-3.4
187,JJA,7,1995,Jul-95,-0.2,-1.4,-1
188,JJA,8,1995,Aug-95,0.7,-0.8,-1.3
189,SON,9,1995,Sep-95,0.3,0.6,-1.5
190,SON,10,1995,Oct-95,0.2,-0.3,1.2
191,SON,11,1995,Nov-95,-1.4,-3,-2.7
192,DJF,12,1995,Dec-95,-1.7,-3.8,-3.3
193,DJF,1,1996,Jan-96,-0.1,-1.8,-3.3
194,DJF,2,1996,Feb-96,-0.1,0.9,-0.1
195,MAM,3,1996,Mar-96,-0.2,-2.6,-2.6
196,MAM,4,1996,Apr-96,-0.2,-1,-0.3
197,MAM,5,1996,May-96,-1.1,-1.8,-1.5
198,JJA,6,1996,Jun-96,0.6,0.7,1.4
199,JJA,7,1996,Jul-96,0.7,1.2,1.5
200,JJA,8,1996,Aug-96,1,0.6,-0.2
201,SON,9,1996,Sep-96,-0.9,-0.6,-2.2
202,SON,10,1996,Oct-96,-0.3,1.6,-0.1
203,SON,11,1996,Nov-96,-0.6,1,-0.1
204,DJF,12,1996,Dec-96,-1.4,-3.6,-4.7
205,DJF,1,1997,Jan-97,-0.5,-2.4,-2
206,DJF,2,1997,Feb-97,1.7,3.7,5.3
207,MAM,3,1997,Mar-97,1.5,1.2,2.1
208,MAM,4,1997,Apr-97,-1,-1.8,-1
209,MAM,5,1997,May-97,-0.3,-1.9,-1.4
210,JJA,6,1997,Jun-97,-1.5,-3.1,-4.1
211,JJA,7,1997,Jul-97,0.3,1.1,1.2
212,JJA,8,1997,Aug-97,0.8,0.7,1.8
213,SON,9,1997,Sep-97,0.6,-0.8,-0.7
214,SON,10,1997,Oct-97,-1.7,-2.6,-2.3
215,SON,11,1997,Nov-97,-0.9,0.1,-1
216,DJF,12,1997,Dec-97,-1,-0.5,-0.2
217,DJF,1,1998,Jan-98,0.4,-0.7,-0.3
218,DJF,2,1998,Feb-98,-0.1,0.7,2.4
219,MAM,3,1998,Mar-98,0.9,0.5,1.2
220,MAM,4,1998,Apr-98,-0.7,0.7,-0.4
221,MAM,5,1998,May-98,-1.3,-0.2,-1.3
222,JJA,6,1998,Jun-98,-2.7,-1,-0.9
223,JJA,7,1998,Jul-98,-0.5,0.3,-0.6
224,JJA,8,1998,Aug-98,0,1.5,1.8
225,SON,9,1998,Sep-98,-2,-2,-3.5
226,SON,10,1998,Oct-98,-0.3,1,1.3
227,SON,11,1998,Nov-98,-0.3,0.9,1.1
228,DJF,12,1998,Dec-98,0.9,1.6,2
229,DJF,1,1999,Jan-99,0.8,1.3,0.9
230,DJF,2,1999,Feb-99,0.3,2.2,1.8
231,MAM,3,1999,Mar-99,0.2,0.2,-0.7
232,MAM,4,1999,Apr-99,-0.9,0,0.4
233,MAM,5,1999,May-99,0.9,0.4,1
234,JJA,6,1999,Jun-99,1.1,1.2,1.4
235,JJA,7,1999,Jul-99,-0.9,-1.8,-1.9
236,JJA,8,1999,Aug-99,0.4,-2.6,-3.7
237,SON,9,1999,Sep-99,0.4,0.9,-0.5
238,SON,10,1999,Oct-99,0.2,0.4,-0.7
239,SON,11,1999,Nov-99,0.6,0.8,0.3
240,DJF,12,1999,Dec-99,1.6,1.7,2.1
241,DJF,1,2000,Jan-00,0.6,0.1,0.3
242,DJF,2,2000,Feb-00,1.7,3.1,4.4
243,MAM,3,2000,Mar-00,0.8,0.4,0.5
244,MAM,4,2000,Apr-00,0,-2.5,-3.3
245,MAM,5,2000,May-00,1.6,1.4,0.3
246,JJA,6,2000,Jun-00,0,-0.5,0.9
247,JJA,7,2000,Jul-00,-1,-2.9,-3
248,JJA,8,2000,Aug-00,-0.3,0.4,0.8
249,SON,9,2000,Sep-00,-0.2,0.2,-1.1
250,SON,10,2000,Oct-00,0.9,4.5,1.4
251,SON,11,2000,Nov-00,-0.9,0,-0.2
252,DJF,12,2000,Dec-00,-0.6,-2.2,-1.4
253,DJF,1,2001,Jan-01,0.3,-0.1,0
254,DJF,2,2001,Feb-01,0.4,-0.5,0.1
255,MAM,3,2001,Mar-01,-1.3,-1.5,-0.7
256,MAM,4,2001,Apr-01,0,1.4,1.2
257,MAM,5,2001,May-01,0,-1,-0.1
258,JJA,6,2001,Jun-01,-0.2,-1.9,-1.3
259,JJA,7,2001,Jul-01,-0.3,0.3,-1.1
260,JJA,8,2001,Aug-01,-0.1,0.6,1.6
261,SON,9,2001,Sep-01,-0.6,-2.8,-3.8
262,SON,10,2001,Oct-01,-0.2,0.9,0.9
263,SON,11,2001,Nov-01,0.6,1.4,0
264,DJF,12,2001,Dec-01,-0.8,-4.1,-2.3
265,DJF,1,2002,Jan-02,0.4,0.5,2.3
266,DJF,2,2002,Feb-02,1.1,1.7,3
267,MAM,3,2002,Mar-02,0.7,0.9,0.1
268,MAM,4,2002,Apr-02,1.2,2.2,0.9
269,MAM,5,2002,May-02,-0.2,1.9,-0.1
270,JJA,6,2002,Jun-02,0.4,1.9,0.9
271,JJA,7,2002,Jul-02,0.6,1.6,-0.7
272,JJA,8,2002,Aug-02,0.4,0.6,-0.6
273,SON,9,2002,Sep-02,-0.7,-4.4,-3.6
274,SON,10,2002,Oct-02,-2.3,-2,-1.5
275,SON,11,2002,Nov-02,-0.2,1.3,-0.3
276,DJF,12,2002,Dec-02,-0.9,-2.4,-1
277,DJF,1,2003,Jan-03,0.2,0.4,0.2
278,DJF,2,2003,Feb-03,0.6,1.2,1.3
279,MAM,3,2003,Mar-03,0.3,0.5,1.1
280,MAM,4,2003,Apr-03,-0.2,-1.9,-1.7
281,MAM,5,2003,May-03,0,0.8,1.2
282,JJA,6,2003,Jun-03,-0.1,-0.5,-0.9
283,JJA,7,2003,Jul-03,0.1,0.4,0.1
284,JJA,8,2003,Aug-03,-0.1,-2,-1
285,SON,9,2003,Sep-03,0,-0.6,0.3
286,SON,10,2003,Oct-03,-1.3,-1,-3.7
287,SON,11,2003,Nov-03,0.9,1.4,0.3
288,DJF,12,2003,Dec-03,0.6,-1.1,-0.9
289,DJF,1,2004,Jan-04,-0.3,0.2,0.2
290,DJF,2,2004,Feb-04,-0.1,-1.4,-1.2
291,MAM,3,2004,Mar-04,1,1.5,1.1
292,MAM,4,2004,Apr-04,1.1,1.7,1.1
293,MAM,5,2004,May-04,0.2,0.9,-0.7
294,JJA,6,2004,Jun-04,-0.9,-1.5,-0.4
295,JJA,7,2004,Jul-04,1.1,-0.8,-0.3
296,JJA,8,2004,Aug-04,-0.5,-1.5,-0.8
297,SON,9,2004,Sep-04,0.4,2,2.5
298,SON,10,2004,Oct-04,-1.1,-2,-2.2
299,SON,11,2004,Nov-04,0.7,-0.2,-0.6
300,DJF,12,2004,Dec-04,1.2,2.6,1.3
301,DJF,1,2005,Jan-05,1.5,1,1.8
302,DJF,2,2005,Feb-05,-0.1,-0.6,-2.3
303,MAM,3,2005,Mar-05,-1.8,-3,-1.3
304,MAM,4,2005,Apr-05,-0.3,0.2,0.7
305,MAM,5,2005,May-05,-1.3,-1.6,-0.1
306,JJA,6,2005,Jun-05,-0.1,-1.4,-1
307,JJA,7,2005,Jul-05,-0.5,-0.5,-0.1
308,JJA,8,2005,Aug-05,0.4,1.8,0.9
309,SON,9,2005,Sep-05,0.6,1.2,0.5
310,SON,10,2005,Oct-05,-1,-1.5,-0.4
311,SON,11,2005,Nov-05,-0.3,0.7,-1
312,DJF,12,2005,Dec-05,-0.4,-0.7,-0.8
313,DJF,1,2006,Jan-06,1.3,1,-0.1
314,DJF,2,2006,Feb-06,-0.5,-0.7,-1.2
315,MAM,3,2006,Mar-06,-1.3,-1.8,-1.1
316,MAM,4,2006,Apr-06,1.2,1,0.6
317,MAM,5,2006,May-06,-1.1,-0.6,-0.2
318,JJA,6,2006,Jun-06,0.8,0,-0.4
319,JJA,7,2006,Jul-06,0.9,-0.3,0.8
320,JJA,8,2006,Aug-06,-1.7,-0.9,-2.5
321,SON,9,2006,Sep-06,-1.6,-0.4,-1
322,SON,10,2006,Oct-06,-2.2,-2.4,-2
323,SON,11,2006,Nov-06,0.4,1.2,2
324,DJF,12,2006,Dec-06,1.3,2.1,3
325,DJF,1,2007,Jan-07,0.2,1.1,1.8
326,DJF,2,2007,Feb-07,-0.5,-0.2,0.4
327,MAM,3,2007,Mar-07,1.4,3.1,2
328,MAM,4,2007,Apr-07,0.2,-0.1,-0.1
329,MAM,5,2007,May-07,0.7,2.9,0.6
330,JJA,6,2007,Jun-07,-1.3,-3.5,-3.3
331,JJA,7,2007,Jul-07,-0.6,-1,-1
332,JJA,8,2007,Aug-07,-0.1,-0.2,-3.4
333,SON,9,2007,Sep-07,0.7,-0.1,-1.2
334,SON,10,2007,Oct-07,0.4,0.9,0
335,SON,11,2007,Nov-07,0.6,-1.2,-1.7
336,DJF,12,2007,Dec-07,0.3,0.9,1.4
337,DJF,1,2008,Jan-08,0.9,1.4,1.9
338,DJF,2,2008,Feb-08,0.7,0.4,1.8
339,MAM,3,2008,Mar-08,0.1,1.6,0.4
340,MAM,4,2008,Apr-08,-1.1,-2.8,-2
341,MAM,5,2008,May-08,-1.7,-2.1,-3.3
342,JJA,6,2008,Jun-08,-1.4,-0.2,-1.6
343,JJA,7,2008,Jul-08,-1.3,0,-1.1
344,JJA,8,2008,Aug-08,-1.2,2,-0.2
345,SON,9,2008,Sep-08,1,0.2,-2.1
346,SON,10,2008,Oct-08,0,3.1,0
347,SON,11,2008,Nov-08,-0.3,1.3,-1.3
348,DJF,12,2008,Dec-08,-0.3,0.5,-0.6
349,DJF,1,2009,Jan-09,0,1.6,0.6
350,DJF,2,2009,Feb-09,0.1,-0.2,-1.4
351,MAM,3,2009,Mar-09,0.6,1.7,0.2
352,MAM,4,2009,Apr-09,-0.2,2.8,1.7
353,MAM,5,2009,May-09,1.7,2.7,1.5
354,JJA,6,2009,Jun-09,-1.2,-3.8,-3
355,JJA,7,2009,Jul-09,-2.2,-2,-0.9
356,JJA,8,2009,Aug-09,-0.2,2.2,1.1
357,SON,9,2009,Sep-09,1.5,1.4,-0.6
358,SON,10,2009,Oct-09,-1,-2.2,-1.5
359,SON,11,2009,Nov-09,0,2.1,1.7
360,DJF,12,2009,Dec-09,-1.9,-4.6,-3.7
361,DJF,1,2010,Jan-10,-1.1,-1.9,-2.4
362,DJF,2,2010,Feb-10,-2,-3.6,-3.9
363,MAM,3,2010,Mar-10,-0.9,-1.5,-0.8
364,MAM,4,2010,Apr-10,-0.7,-2.5,-1
365,MAM,5,2010,May-10,-1.5,-0.8,-1.7
366,JJA,6,2010,Jun-10,-0.8,-0.3,-3.7
367,JJA,7,2010,Jul-10,-0.4,1.7,0.1
368,JJA,8,2010,Aug-10,-1.2,-1.9,-2
369,SON,9,2010,Sep-10,-0.8,-0.2,-2.4
370,SON,10,2010,Oct-10,-0.9,-0.8,-2.4
371,SON,11,2010,Nov-10,-1.6,-1.5,-3.3
372,DJF,12,2010,Dec-10,-1.8,-5.6,-4.6
373,DJF,1,2011,Jan-11,-0.9,-1.3,-1.4
374,DJF,2,2011,Feb-11,0.7,1.9,2.8
375,MAM,3,2011,Mar-11,0.6,0.4,-0.2
376,MAM,4,2011,Apr-11,2.5,2.1,2.4
377,MAM,5,2011,May-11,-0.1,1.8,1.1
378,JJA,6,2011,Jun-11,-1.3,-0.8,-1.6
379,JJA,7,2011,Jul-11,-1.5,0.3,-3.4
380,JJA,8,2011,Aug-11,-1.3,-1.4,-2.4
381,SON,9,2011,Sep-11,0.5,1.1,3
382,SON,10,2011,Oct-11,0.4,1.6,1.3
383,SON,11,2011,Nov-11,1.4,1.2,0.7
384,DJF,12,2011,Dec-11,2.5,3.5,3.2
385,DJF,1,2012,Jan-12,1.2,1.7,2
386,DJF,2,2012,Feb-12,0.4,1.3,1.3
387,MAM,3,2012,Mar-12,1.3,0.9,1.8
388,MAM,4,2012,Apr-12,0.5,0.4,-2.4
389,MAM,5,2012,May-12,-0.9,-3.3,-0.8
390,JJA,6,2012,Jun-12,-2.5,-2.5,-2.6
391,JJA,7,2012,Jul-12,-1.3,-0.6,-1.3
392,JJA,8,2012,Aug-12,-1,-2.1,-0.4
393,SON,9,2012,Sep-12,-0.6,-0.1,-1.4
394,SON,10,2012,Oct-12,-2.1,-3.3,-3.2
395,SON,11,2012,Nov-12,-0.6,1.6,-1.1
396,DJF,12,2012,Dec-12,0.2,-0.4,0.6
397,DJF,1,2013,Jan-13,0.3,0.8,1.1
398,DJF,2,2013,Feb-13,-0.5,0.1,-0.3
399,MAM,3,2013,Mar-13,-1.6,-4.3,-3.8
400,MAM,4,2013,Apr-13,0.7,-0.4,0
401,MAM,5,2013,May-13,0.6,3,1.2
402,JJA,6,2013,Jun-13,0.5,1.8,1.4
403,JJA,7,2013,Jul-13,0.7,-1.5,2.5
404,JJA,8,2013,Aug-13,1,2.7,2.2
405,SON,9,2013,Sep-13,0.2,-0.2,-0.6
406,SON,10,2013,Oct-13,-1.3,-1,-0.4
407,SON,11,2013,Nov-13,0.9,1.6,0
408,DJF,12,2013,Dec-13,0.9,2.8,3.5
409,DJF,1,2014,Jan-14,0.3,2,0.7
410,DJF,2,2014,Feb-14,1.3,2.2,2.3
411,MAM,3,2014,Mar-14,0.8,2.2,1.6
412,MAM,4,2014,Apr-14,0.3,-0.4,0.8
413,MAM,5,2014,May-14,-0.9,1.4,-0.1
414,JJA,6,2014,Jun-14,-1,-1.7,-2
415,JJA,7,2014,Jul-14,0.2,0.2,0.9
416,JJA,8,2014,Aug-14,-1.7,-0.8,-1.1
417,SON,9,2014,Sep-14,1.6,-2.1,-2.1
418,SON,10,2014,Oct-14,-1.3,0.1,0.3
419,SON,11,2014,Nov-14,0.7,0.6,-2.2
420,DJF,12,2014,Dec-14,1.9,2.9,1.9
421,DJF,1,2015,Jan-15,1.8,3.5,2.8
422,DJF,2,2015,Feb-15,1.3,2.4,1.5
423,MAM,3,2015,Mar-15,1.4,3.1,2
424,MAM,4,2015,Apr-15,0.7,-0.1,1
425,MAM,5,2015,May-15,0.1,1.9,2.1
426,JJA,6,2015,Jun-15,-0.1,-0.7,0.3
427,JJA,7,2015,Jul-15,-3.2,-2.3,-2.2
428,JJA,8,2015,Aug-15,-0.8,1,1.5
429,SON,9,2015,Sep-15,-0.6,-1.6,-1.6
430,SON,10,2015,Oct-15,0.4,-0.6,-1.1
431,SON,11,2015,Nov-15,1.7,2.7,3.5
432,DJF,12,2015,Dec-15,2.2,0.8,4.2
433,DJF,1,2016,Jan-16,0.1,0,1.2
434,DJF,2,2016,Feb-16,1.6,2.4,1.6
435,MAM,3,2016,Mar-16,0.7,1.4,0.3
436,MAM,4,2016,Apr-16,0.4,-1.7,-2.1
437,MAM,5,2016,May-16,-0.8,-0.8,-0.8
438,JJA,6,2016,Jun-16,-0.4,-0.2,-1.3
439,JJA,7,2016,Jul-16,-1.8,0.4,2.2
440,JJA,8,2016,Aug-16,-1.6,0.2,2.1
441,SON,9,2016,Sep-16,0.6,2.8,2.5
442,SON,10,2016,Oct-16,0.4,-1.2,-1.5
443,SON,11,2016,Nov-16,-0.2,1,-1.6
444,DJF,12,2016,Dec-16,0.5,0.9,2.1
